MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
237ce53170,Sc8Ta11NbSi15As,"['Si', 'Sc', 'As', 'Nb', 'Ta']",triclinic,P1,0.0028,-0.7789,-0.0613,54.6,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
46a3748451,Sc8Ta3Nb9Si15As,"['Si', 'Sc', 'As', 'Nb', 'Ta']",triclinic,P1,0.0009,-0.8206,-0.0283,54.6,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
9e32686f6e,Sc8Ta5Nb7Si15As,"['Si', 'Sc', 'As', 'Nb', 'Ta']",triclinic,P1,0.0027,-0.8104,-0.0368,54.6,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
4615b7e9c5,Hf4Ti4Nb2Si3Ge5,"['Si', 'Ti', 'Ge', 'Nb', 'Hf']",orthorhombic,Pmc2_1,0.0047,-0.8025,-0.0917,54.62,65,5.71,2.27,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
3b70e227bc,Hf2Ti2NbSiGe3,"['Si', 'Ti', 'Ge', 'Nb', 'Hf']",orthorhombic,Pnma,0.0036,-0.7827,-0.081,54.62,65,5.71,2.27,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e519db9ac1,Ta2Ti5Nb(Co4Si7)2,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0006,-0.6894,-0.0034,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
cd8fef1a9f,Ta3Ti2Nb3(Co4Si7)2,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0019,-0.655,-0.0029,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
61c07d6fce,Ta2Ti3Nb3(Co4Si7)2,"['Si', 'Ti', 'Co', 'Nb', 'Ta']",monoclinic,Cm,0.0037,-0.6711,-0.0032,50.55,65,7.15,1.95,True,"['battery', 'quantum', 'superalloy', 'defense']"
b0a2bf0569,ScTi2Nb3Al8Si8Ir7,"['Al', 'Si', 'Sc', 'Ti', 'Nb', 'Ir']",orthorhombic,Fmm2,,-0.8125,-0.0246,50.56,65,9.68,2.95,True,"['quantum', 'superalloy', 'defense']"
85b247b43d,Er2Si6AsIrRh11,"['Si', 'As', 'Rh', 'Er', 'Ir']",triclinic,P1,0.0013,-0.9191,-0.0362,50.56,65,9.68,2.49,True,"['semiconductor', 'quantum', 'optical', 'defense']"
394bc2b73b,Ho2Si6AsIr5Rh7,"['Si', 'As', 'Rh', 'Ho', 'Ir']",triclinic,P1,0.0031,-0.9048,-0.086,50.57,65,9.68,2.49,True,"['semiconductor', 'quantum', 'optical', 'defense']"
f89d9d7d9a,Ho2Si6As(IrRh5)2,"['Si', 'As', 'Rh', 'Ho', 'Ir']",triclinic,P1,,-0.9244,-0.0595,50.57,65,9.68,2.49,True,"['semiconductor', 'quantum', 'optical', 'defense']"
d14aea5ead,Ho2Si6AsIr11Rh,"['Si', 'As', 'Rh', 'Ho', 'Ir']",triclinic,P1,0.0059,-0.8225,-0.0996,50.57,65,9.68,2.49,True,"['semiconductor', 'quantum', 'optical', 'defense']"
bc3ca06d25,Hf6Nb4Al12Os7,"['Al', 'Nb', 'Hf', 'Os']",cubic,F-43m,0.1154,-0.591,-0.0382,50.59,65,8.37,3.54,True,"['quantum', 'superalloy', 'defense']"
3db3fb0028,Ta4Ti2V6Si9Ge,"['Si', 'Ti', 'V', 'Ge', 'Ta']",monoclinic,Cm,0.001,-0.6274,-0.0621,54.43,65,7.15,2.72,True,"['semiconductor', 'battery', 'quantum', 'superalloy', 'optical']"
a7b1a6c7bb,Ta2Ti4V6Si9Ge,"['Si', 'Ti', 'V', 'Ge', 'Ta']",monoclinic,Cm,0.0018,-0.6716,-0.0698,54.43,65,7.15,2.72,True,"['semiconductor', 'battery', 'quantum', 'superalloy', 'optical']"
a7bb0ad8ae,TaTi5V6Si9Ge,"['Si', 'Ti', 'V', 'Ge', 'Ta']",monoclinic,Cm,0.0061,-0.6902,-0.0702,54.43,65,7.15,2.72,True,"['semiconductor', 'battery', 'quantum', 'superalloy', 'optical']"
